# new call
0.16666666666666666,0,0,0.072916666666666657,0,0,0,0,0,0,0.03125,-0
0,0.16666666666666666,0,0,0.072916666666666657,0,0,0,0,-0.03125,0,0
0,0,0.16666666666666666,0,0,0.10416666666666666,0,0,0,0,-0,0
0.072916666666666657,0,0,0.16666666666666666,0,0,0,-0.03125,0,0,0,0
0,0.072916666666666657,0,0,0.16666666666666666,0,0.03125,0,-0,0,0,0
0,0,0.10416666666666666,0,0,0.16666666666666666,-0,0,0,0,0,0
0,0,0,0,0.03125,-0,0.125,0,0,-0.0078125,-0,-0
0,0,0,-0.03125,0,0,0,0.125,0,-0,-0.0078125,-0
0,0,0,0,-0,0,0,0,0.125,-0,-0,0.015625
0,-0.03125,0,0,0,0,-0.0078125,-0,-0,0.125,0,0
0.03125,0,-0,0,0,0,-0,-0.0078125,-0,0,0.125,0
-0,0,0,0,0,0,-0,-0,0.015625,0,0,0.125

# new call
0.16666666666666666,0,0,0.068522117841845726,0,0,0,0,0,0,0.028344671201814057,-0
0,0.16666666666666666,0,0,0.068522117841845726,0,0,0,0,-0.028344671201814057,0,0
0,0,0.16666666666666666,0,0,0.10105100241154663,0,0,0,0,-0,0
0.068522117841845726,0,0,0.16666666666666666,0,0,0,-0.028344671201814057,0,0,0,0
0,0.068522117841845726,0,0,0.16666666666666666,0,0.028344671201814057,0,-0,0,0,0
0,0,0.10105100241154663,0,0,0.16666666666666666,-0,0,0,0,0,0
0,0,0,0,0.028344671201814057,-0,0.125,0,0,-0.0067487312385271564,-0,-0
0,0,0,-0.028344671201814057,0,0,0,0.125,0,-0,-0.0067487312385271564,-0
0,0,0,0,-0,0,0,0,0.125,-0,-0,0.013497462477054313
0,-0.028344671201814057,0,0,0,0,-0.0067487312385271564,-0,-0,0.125,0,0
0.028344671201814057,0,-0,0,0,0,-0,-0.0067487312385271564,-0,0,0.125,0
-0,0,0,0,0,0,-0,-0,0.013497462477054313,0,0,0.125

# new call
0.16666666666666666,0,0,0.064644377660906582,0,0,0,0,0,0,0.025826446280991733,-0
0,0.16666666666666666,0,0,0.064644377660906582,0,0,0,0,-0.025826446280991733,0,0
0,0,0.16666666666666666,0,0,0.097983971950914087,0,0,0,0,-0,0
0.064644377660906582,0,0,0.16666666666666666,0,0,0,-0.025826446280991733,0,0,0,0
0,0.064644377660906582,0,0,0.16666666666666666,0,0.025826446280991733,0,-0,0,0,0
0,0,0.097983971950914087,0,0,0.16666666666666666,-0,0,0,0,0,0
0,0,0,0,0.025826446280991733,-0,0.125,0,0,-0.0058696468820435745,-0,-0
0,0,0,-0.025826446280991733,0,0,0,0.125,0,-0,-0.0058696468820435745,-0
0,0,0,0,-0,0,0,0,0.125,-0,-0,0.011739293764087149
0,-0.025826446280991733,0,0,0,0,-0.0058696468820435745,-0,-0,0.125,0,0
0.025826446280991733,0,-0,0,0,0,-0,-0.0058696468820435745,-0,0,0.125,0
-0,0,0,0,0,0,-0,-0,0.011739293764087149,0,0,0.125

# new call
0.16666666666666666,0,0,0.06119695350812307,0,0,0,0,0,0,0.023629489603024578,-0
0,0.16666666666666666,0,0,0.06119695350812307,0,0,0,0,-0.023629489603024578,0,0
0,0,0.16666666666666666,0,0,0.094997397331579941,0,0,0,0,-0,0
0.06119695350812307,0,0,0.16666666666666666,0,0,0,-0.023629489603024578,0,0,0,0
0,0.06119695350812307,0,0,0.16666666666666666,0,0.023629489603024578,0,-0,0,0,0
0,0,0.094997397331579941,0,0,0.16666666666666666,-0,0,0,0,0,0
0,0,0,0,0.023629489603024578,-0,0.125,0,0,-0.0051368455658749087,-0,-0
0,0,0,-0.023629489603024578,0,0,0,0.125,0,-0,-0.0051368455658749087,-0
